country.r,country,year,lifeExp,pop,gdpPercap
1,Argentina,1952,62.485,17876956,5911.315053
1,Argentina,1962,65.142,21283783,7133.166023
1,Argentina,1972,67.065,24779799,9443.038526
1,Argentina,1982,69.942,29341374,8997.897412
1,Argentina,1992,71.868,33958947,9308.41871
1,Argentina,2002,74.34,38331121,8797.640716
2,Bolivia,1952,40.414,2883315,2677.326347
2,Bolivia,1962,43.428,3593918,2180.972546
2,Bolivia,1972,46.714,4565872,2980.331339
2,Bolivia,1982,53.859,5642224,3156.510452
2,Bolivia,1992,59.957,6893451,2961.699694
2,Bolivia,2002,63.883,8445134,3413.26269
3,Brazil,1952,50.917,56602560,2108.944355
3,Brazil,1962,55.665,76039390,3336.585802
3,Brazil,1972,59.504,100840058,4985.711467
3,Brazil,1982,63.336,128962939,7030.835878
3,Brazil,1992,67.057,155975974,6950.283021
3,Brazil,2002,71.006,179914212,8131.212843
4,Canada,1952,68.75,14785584,11367.16112
4,Canada,1962,71.3,18985849,13462.48555
4,Canada,1972,72.88,22284500,18970.57086
4,Canada,1982,75.76,25201900,22898.79214
4,Canada,1992,77.95,28523502,26342.88426
4,Canada,2002,79.77,31902268,33328.96507
5,Chile,1952,54.745,6377619,3939.978789
5,Chile,1962,57.924,7961258,4519.094331
5,Chile,1972,63.441,9717524,5494.024437
5,Chile,1982,70.565,11487112,5095.665738
5,Chile,1992,74.126,13572994,7596.125964
5,Chile,2002,77.86,15497046,10778.78385
6,Colombia,1952,50.643,12350771,2144.115096
6,Colombia,1962,57.863,17009885,2492.351109
6,Colombia,1972,61.623,22542890,3264.660041
6,Colombia,1982,66.653,27764644,4397.575659
6,Colombia,1992,68.421,34202721,5444.648617
6,Colombia,2002,71.682,41008227,5755.259962
7,Costa Rica,1952,57.206,926317,2627.009471
7,Costa Rica,1962,62.842,1345187,3460.937025
7,Costa Rica,1972,67.849,1834796,5118.146939
7,Costa Rica,1982,73.45,2424367,5262.734751
7,Costa Rica,1992,75.713,3173216,6160.416317
7,Costa Rica,2002,78.123,3834934,7723.447195
8,Cuba,1952,59.421,6007797,5586.53878
8,Cuba,1962,65.246,7254373,5180.75591
8,Cuba,1972,70.723,8831348,5305.445256
8,Cuba,1982,73.717,9789224,7316.918107
8,Cuba,1992,74.414,10723260,5592.843963
8,Cuba,2002,77.158,11226999,6340.646683
9,Dominican Republic,1952,45.928,2491346,1397.717137
9,Dominican Republic,1962,53.459,3453434,1662.137359
9,Dominican Republic,1972,59.631,4671329,2189.874499
9,Dominican Republic,1982,63.727,5968349,2861.092386
9,Dominican Republic,1992,68.457,7351181,3044.214214
9,Dominican Republic,2002,70.847,8650322,4563.808154
10,Ecuador,1952,48.357,3548753,3522.110717
10,Ecuador,1962,54.64,4681707,4086.114078
10,Ecuador,1972,58.796,6298651,5280.99471
10,Ecuador,1982,64.342,8365850,7213.791267
10,Ecuador,1992,69.613,10748394,7103.702595
10,Ecuador,2002,74.173,12921234,5773.044512
11,El Salvador,1952,45.262,2042865,3048.3029
11,El Salvador,1962,52.307,2747687,3776.803627
11,El Salvador,1972,58.207,3790903,4520.246008
11,El Salvador,1982,56.604,4474873,4098.344175
11,El Salvador,1992,66.798,5274649,4444.2317
